,,,,,,,,Q8,Q11,Q13,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,,Random ID
1b,100,262,TRUE,1/13/21 17:21,R_2DUln10mDhhR0q0,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),It might settle in the inner ring.,To see which direction it slides down.,,91659
1b,100,239,TRUE,1/13/21 17:26,R_r3aSNOiCrYWMdbP,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pentagon,pipe,torus,c),b),a),a),I would have fun trying to get it to stick in the hole of the other toy.,It would be more fun to see it roll/bounce off a round object.,,58299
1b,100,285,TRUE,1/13/21 17:38,R_28RO6XChI0VCir5,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),To see if the toy could fall in the hole on the choice object.,The choice object had a flat top so it would be a goal to get the dropped object to fall and stay on top of the choice object.,,25803
1b,100,190,TRUE,1/13/21 17:47,R_Tbe4zf7cGSvhbFL,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),They seemed like good combinations,They complement each other,,42880
1b,100,235,TRUE,1/13/21 17:49,R_2S9zRid51qrR4GZ,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),There is a chance that it will stick in the hole,It may land on top and stick there,,81183
1b,100,1032,TRUE,1/13/21 18:45,R_PO3PbYpvWsMzWh3,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I chose it because I thought that somehow the tip of the object that will fall may fit in the middle of the object that is on the floor.,I chose it because I think that an object from the top when falling can be balanced on top of the object on the floor.,,74297
1b,100,3191,TRUE,1/13/21 19:01,R_1JCxiFP3fpM5ZJL,4,,dumbbell,b),pyramid,cone,cone,pyramid,pipe,bowl,sphere,bowl,octahedron,torus,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,torus,c),b),a),a),It is more difficult to say what would happen for this one.,Because of the round shape it is hard to say what will happen when this is dropped on it.,,13036
1b,37,99,FALSE,1/13/21 20:19,R_3fkmSruKTmp09jm,,Y,pentagon,b),,,,,sphere,,,,,,,,sphere,,,pyramid,,,,,,,,,,,,67851
1b,37,214,FALSE,1/13/21 20:22,R_3mmfZ7A0GFzxZBb,,Y,dumbbell,b),,,,,sphere,,,,,,,,sphere,,,pipe,,,,,,,,,,,,18692
1b,37,110,FALSE,1/13/21 20:32,R_3De8o75ZlLtgEYB,,Y,pentagon,b),,,,,pipe,,,,,,,,sphere,,,pyramid,,,,,,,,,,,,30850
1b,37,71,FALSE,1/13/21 21:21,R_2WUyV1L1BKIUZJv,,Y,dumbbell,b),,,,,pipe,,,,,,,,sphere,,,pyramid,,,,,,,,,,,,31241
1b,58,655,FALSE,1/13/21 21:47,R_ZlCc52hk4aO713b,1,Y,dumbbell,b),pipe,,cone,,pipe,,,bowl,,,,,trig prism,torus,,pyramid,trig prism,pyramid,,,c),,,,because I thought that diamond shaped toy I was dropping could do something more interesting on the ring (perhaps land in the middle) rather than just thudding onto toy 2.,,,36430
1b,3,2880,FALSE,1/13/21 22:55,R_2QxEdH8U6qrtQZp,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47773
1b,100,138,TRUE,1/14/21 13:34,R_2tXl6Yr8g1kOIpz,4,,dumbbell,b),pyramid,octahedron,dumbbell,pyramid,sphere,pentagon,bowl,bowl,octahedron,dumbbell,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),it would make an interesting movement,it was a more neat choice,,87645
1b,100,201,TRUE,1/14/21 13:35,R_vTTReCluiXDaNPj,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),no particular reason,no particular reason,,20920
1b,100,261,TRUE,1/14/21 13:36,R_3EpfnjgLNk0Mrd6,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,bowl,pentagon,sphere,dumbbell,cone,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),I think it may make the wackiest bounce,I want to see if I can get the pyramid to land straight up on the block.,,38563
1b,100,174,TRUE,1/14/21 13:36,R_1It5HwBZjrVRR3Q,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),I wanted to see if I could get the diamond to settle in the hole,I wanted to see what happens to the ball when the pyramid nails it.,,11143
1b,100,256,TRUE,1/14/21 13:36,R_80T3QcDRrtGM4rn,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,pentagon,pipe,trig prism,pyramid,cone,torus,c),b),a),a),Landing it in the middle of the donut would be fun.,Getting the two polyhedral shapes to stack would be a fun challenge.,,17985
1b,100,170,TRUE,1/14/21 13:38,R_3oRqwuRdqWytAGM,1,Y,dumbbell,b),pyramid,cone,cone,pyramid,pipe,bowl,sphere,bowl,octahedron,torus,octahedron,pentagon,trig prism,torus,cone,pipe,trig prism,pentagon,cone,torus,c),c),b),c),it seem like it do the most roll,it big enough,,93089
1b,100,267,TRUE,1/14/21 13:43,R_2YbJcgeFERB1awL,4,,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),Because it looks like the toys fit together,Because it looks like the toys fit together,,1076
1b,100,229,TRUE,1/14/21 13:44,R_6VhGahL5nP8Nba1,4,,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,sphere,bowl,torus,torus,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),I want to see where the object goes after it drops on the sphere.,I want to see if the pyramid lands on it's side and slides off of the sphere or not.,,29142
1b,100,481,TRUE,1/14/21 13:48,R_2AQjB2An4wLMM2Q,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,cone,pyramid,sphere,pentagon,pipe,torus,c),b),a),a),I want to drop it in that particular toy,I want to see what's happening after drop the toy,,48191
1b,100,1116,TRUE,1/14/21 13:50,R_uz6Wxl4jO0sfiEN,3,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),c),a),Choice 2,Toy 1,,65628
1b,100,269,TRUE,1/14/21 13:52,R_3pgMnGBnUuRL05L,4,,dumbbell,b),pyramid,cone,cone,pyramid,sphere,bowl,sphere,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),The drops should create more action on average.,The possibilities for a bigger response are enhanced with that combination.,,20440
1b,100,353,TRUE,1/14/21 13:56,R_sALt5WBfuPmzcul,4,,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,sphere,bowl,octahedron,dumbbell,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,torus,c),b),a),a),great shape to work with,looks like a good fit,,13216
1b,100,289,TRUE,1/14/21 13:56,R_6ooGJNH6qVgkSbL,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,trig prism,pyramid,cone,torus,c),b),a),a),Because something interesting can happen,I don't know,,31940
1b,100,202,TRUE,1/14/21 13:59,R_1lhloCydnCYIfBk,4,,dumbbell,b),pyramid,cone,dumbbell,pyramid,pipe,bowl,sphere,dumbbell,torus,dumbbell,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),I wanted to see if the block would land in the center of the other one,I wanted to see how it bounced when it hit the other block,,61128
1b,100,461,TRUE,1/14/21 14:03,R_1Szc6KVqgkJUIxP,1,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,bowl,bowl,dumbbell,octahedron,dumbbell,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,a),b),b),c),is cutting at that shape,Is similar to same,,50568
1b,100,406,TRUE,1/14/21 14:04,R_1hB8MMO44SLaIyg,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I think that would do the most surprising for me.,I liked the combination.,,43452
1b,100,228,TRUE,1/14/21 14:06,R_3hgBkFnvUJ709xV,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),it would make sense because it would drop in the hole and that's kind of satisfying,it might fit on the surface of the object i picked but if i pick the ball it's going to make it roll and fall and that's unpleasant,,45262
1b,100,231,TRUE,1/14/21 14:08,R_2B34bcQh8MvXWvR,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,dumbbell,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pyramid,trig prism,pentagon,pipe,torus,c),b),a),a),I thought it might land in the hole on that one.,It might land on the flat part and stay there. that would be cool.,,2675
1b,100,403,TRUE,1/14/21 14:19,R_79eNeZFAY4eXgM9,4,,dumbbell,b),pipe,octahedron,dumbbell,pyramid,pipe,bowl,sphere,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),dropping toy may fit with toy in the ground.,it may fit with other toy,,65107
1b,100,193,TRUE,1/14/21 14:19,R_ywLJHXrHs1cvgNH,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pyramid,trig prism,pentagon,pipe,torus,c),b),a),a),It might fall inside the other shape,Because I didn't really care one way or the other between the two shapes,,57793
1b,100,2172,TRUE,1/14/21 14:19,R_sR3rGZh3fVnYwlH,1,Y,dumbbell,b),pipe,cone,cone,trig prism,pipe,bowl,sphere,bowl,torus,dumbbell,bowl,pentagon,sphere,torus,cone,pipe,sphere,pyramid,pipe,torus,a),b),b),b),I like that  shape.,I like the  shape .,,29377
1b,100,167,TRUE,1/14/21 14:35,R_5dNoLBX6LxUV3xf,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,pentagon,sphere,torus,cone,pipe,sphere,pyramid,pipe,torus,c),b),a),a),wanted to see if it would get in the hole,wanted it to roll of the ball,,89290
1b,100,212,TRUE,1/14/21 14:35,R_2ysjFTMNIGKQjza,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I was curious if the dropped toy would be able to fit in the hole of the other toy.,I want to see if there's a chance that the dropped toy will be able to land on the other toy without it falling over.,,81850
1b,100,235,TRUE,1/14/21 15:42,R_1JENUeU3ivGh8ds,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,dumbbell,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),It might've landed in an interesting position.,Both shapes were triangle shaped.,,19887
1b,100,150,TRUE,1/14/21 15:55,R_1JFyMtY8IgOBvrw,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Seemed like it might fit.,It was the more satisfying choice.,,92248
1b,45,258,FALSE,1/14/21 18:52,R_1QrumXqHQ4ck9VJ,,Y,dumbbell,b),,,,,pipe,,,,,,,,trig prism,torus,,pipe,,pentagon,,,,,,,I felt the outcome would be more interesting.,,,77559
2a,100,90,TRUE,1/13/21 12:11,R_2OHLuNTCtGL7gbK,1,Y,dumbbell,b),pyramid,cone,dumbbell,pyramid,sphere,bowl,sphere,bowl,octahedron,torus,octahedron,pentagon,sphere,torus,cone,pipe,sphere,pentagon,cone,torus,c),c),c),c),a,a,,92890
2a,100,197,TRUE,1/13/21 20:25,R_vUpCDPEk9M1zkEV,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),Because I wanted to see how it would bounce off the sphere.,I wanted to see if I could get it land in the bowl.,,93120
2a,100,340,TRUE,1/13/21 20:26,R_1o7R82XhwdH7UiQ,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Random,To try to fit,,78196
2a,100,346,TRUE,1/13/21 20:27,R_2e8dwbLFF6D6zQp,3,,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,sphere,bowl,torus,torus,octahedron,octahedron,sphere,torus,cone,pipe,sphere,pentagon,pipe,torus,c),b),b),a),by impact,make the ball go,,87222
2a,100,193,TRUE,1/13/21 20:29,R_2Ugfp04C0bnKqvc,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),i feel it was good,it would reach it perfect,,3111
2a,100,228,TRUE,1/13/21 20:32,R_2WUOdERBz0NHYKv,2,Y,dumbbell,b),pyramid,cone,cone,trig prism,sphere,bowl,sphere,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pipe,trig prism,pentagon,cone,torus,c),b),b),b),game,easy to play,,46987
2a,100,767,TRUE,1/13/21 20:40,R_1LG74Tn6C7pUgYI,2,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,cone,pyramid,trig prism,pyramid,pipe,trig prism,c),b),b),b),Square Drop Ratio of area of Similar Triangle,easy to move,,11357
2a,100,755,TRUE,1/13/21 20:50,R_3mlSdU3Bq194ypQ,4,,dumbbell,b),pyramid,cone,cone,pyramid,sphere,bowl,sphere,bowl,torus,dumbbell,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),Spherical shape is easy to turn.,"If we drop the item on spherical shape, it will easy to turn than other object.",,10492
2a,100,502,TRUE,1/13/21 20:51,R_3I0spIiqn3IOYMb,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,dumbbell,octahedron,torus,bowl,octahedron,trig prism,torus,pentagon,pyramid,trig prism,pyramid,cone,torus,c),b),c),a),Easily dropped,Like it to drop,,40074
2a,100,1917,TRUE,1/13/21 20:52,R_29nODHLBG75CN1y,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),i like the shape better,Because it was the only option that would work and not make the object fall.,,82998
2a,100,211,TRUE,1/13/21 20:53,R_2YLoAJbC64FaSvc,4,,pentagon,b),pipe,cone,cone,trig prism,sphere,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,pentagon,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),It is angular,It seemed interesting to me to do it.,,8856
2a,100,474,TRUE,1/13/21 20:59,R_3Rqk7Vdi2gtpIFK,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I am not sure just wanted to see the result I guess,I thought the combination between the octagonal shape and the half spherical shape would interesting .,,20781
2a,100,450,TRUE,1/13/21 21:05,R_3DwiJxj4LB74exp,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),BECAUSE OF ITS SHAPE,MATCHING SOME OF THE SHAPE RESEMBLANCE,,96168
2a,100,423,TRUE,1/13/21 21:10,R_2rAxGnuBl4bw0fS,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,dumbbell,torus,torus,bowl,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pentagon,cone,torus,c),b),a),a),I thought the roundness would make it interesting,I just wanted to see what would happen,,15628
2a,100,284,TRUE,1/13/21 21:27,R_2CrnhzL1nVGR4Og,2,Y,dumbbell,b),pipe,octahedron,dumbbell,pyramid,pipe,bowl,bowl,dumbbell,octahedron,torus,bowl,pentagon,trig prism,torus,pentagon,pyramid,trig prism,pentagon,cone,torus,c),c),c),a),i like to shap,that is looks like a bowel,,97874
2a,100,318,TRUE,1/13/21 21:31,R_1g77icscQwJurPp,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),The point on the cone would make an interesting combination.,I wanted to try and see if it would go into the hole and try to make it that way.,,75655
2a,100,152,TRUE,1/13/21 21:35,R_1LvQxmgcP8IJl8p,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,torus,pentagon,pyramid,sphere,pentagon,pipe,trig prism,c),b),a),a),thought it'd be cool.,wanted to drop it into the bowl,,19893
2a,100,398,TRUE,1/13/21 21:53,R_1N8hwQ8uAdEGYhx,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pipe,sphere,pentagon,pipe,trig prism,c),b),a),a),"Because the sphere will move in some way, continuing the motion which would be more interesting to anyone, but especially a child.",Because it would be like a game to see if you could get it to stay in.,,24022
2a,100,387,TRUE,1/13/21 21:59,R_1IEJqTqqcitbCcw,1,Y,dumbbell,b),pipe,octahedron,dumbbell,trig prism,pipe,bowl,sphere,dumbbell,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,b),c),c),a),I like shape of toy.,I like shape of this toy.,,33737
2a,100,193,TRUE,1/13/21 21:59,R_2dW7V7gjn0eUNsK,2,Y,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,torus,pentagon,pyramid,trig prism,pyramid,pipe,torus,a),b),b),a),I wanted to see the ball roll away,I want to see if it'll fall and stay in the hole of the other object,,86256
2a,100,267,TRUE,1/13/21 22:26,R_3qO443WYKr4XoXG,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It will give a structure,To give a new figure,,22209
2a,100,592,TRUE,1/13/21 22:32,R_0NDeoYRckiG6YKJ,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,bowl,pentagon,sphere,dumbbell,pentagon,pyramid,trig prism,pyramid,cone,torus,c),b),a),a),I thought the round shape could make the cone possibly flip which would be interesting/fun.,The multiple sides/angles on the shape to drop could twist and turn all sorts of ways bouncing off the ball shape.,,63736
2a,100,313,TRUE,1/13/21 22:42,R_27fW94IUJZDiekv,1,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,bowl,octahedron,torus,bowl,octahedron,trig prism,torus,pentagon,pyramid,trig prism,pyramid,pipe,torus,b),b),c),c),Similarly relative,similarly relative,,31168
2a,100,349,TRUE,1/13/21 22:44,R_3LheOunvfAEP0Y3,1,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,pentagon,sphere,dumbbell,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,sphere,pentagon,pipe,torus,b),c),c),a),I think that's best.,I think that's best.,,75596
2a,71,128,FALSE,1/14/21 0:24,R_3hlJaA6M2TCxOlz,2,Y,pentagon,b),pipe,,,pyramid,pipe,bowl,,bowl,torus,,octahedron,pentagon,sphere,,pentagon,pipe,trig prism,,,torus,c),b),,,I liked it better,,,10829
2a,79,204,FALSE,1/14/21 0:24,R_bavVGBydWalh4wp,2,Y,dumbbell,b),pipe,,,pyramid,pipe,bowl,bowl,bowl,torus,,octahedron,pentagon,sphere,,cone,pipe,trig prism,,pipe,torus,c),b),,,I chose it because of shapes with different,I dropped a hexagon because I wanted to see how it would be like falling on the object on the left and I choose.,,18417
2a,58,213,FALSE,1/14/21 0:25,R_3R7MGft3itxOLu9,0,Y,dumbbell,b),,,,trig prism,sphere,bowl,,bowl,,,bowl,pentagon,trig prism,,pentagon,,trig prism,,,,a),,,,I want to see what happens,,,93910
2a,100,298,TRUE,1/14/21 0:29,R_3EAA1raCRyJRFHC,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,dumbbell,pentagon,pipe,trig prism,pyramid,pipe,torus,c),a),a),a),The cone shape might land perfectly on the ball.,I wanted to see if it would fit in the hole.,,20582
2a,3,194,FALSE,1/14/21 0:49,R_0fadqTN6PHzrbeF,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79219
2a,39,291,FALSE,1/14/21 0:53,R_Dk7iubWz5if2oUx,,Y,dumbbell,b),,,,,,bowl,,,,,,,sphere,,,,sphere,,,,,,,,klknl/kl/k;,,,94003
2a,97,445,FALSE,1/14/21 1:28,R_1MSCZC3EddRNgcL,2,Y,pentagon,b),pipe,cone,dumbbell,pyramid,pipe,bowl,sphere,bowl,octahedron,torus,octahedron,octahedron,sphere,dumbbell,cone,pipe,trig prism,pyramid,pipe,torus,c),b),c),b),my choice was random,Again my choice was random,,68513
2a,100,1503,TRUE,1/14/21 1:49,R_cOMiALJJhAZAfpT,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),it gives some design,it fits easily in that object,,6196
2a,3,6593,FALSE,1/14/21 2:14,R_2uvABkPu2TbIVzm,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83470
2a,100,228,TRUE,1/14/21 15:18,R_3r09POiPv1p9dce,1,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,dumbbell,torus,dumbbell,bowl,pentagon,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,b),c),a),b),I think and he,I think and he,,45079
2a,100,275,TRUE,1/14/21 15:19,R_1EiIU8RcAVPypfo,3,,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,sphere,bowl,torus,torus,octahedron,octahedron,trig prism,torus,cone,pyramid,trig prism,pyramid,cone,torus,c),b),c),a),No particular reason,To see how it'd spin...?,,58224
2a,100,367,TRUE,1/14/21 15:21,R_6tKW1IDa7ZY68Uh,3,,pentagon,b),pipe,cone,cone,trig prism,pipe,bowl,sphere,bowl,torus,torus,bowl,pentagon,sphere,torus,cone,pipe,trig prism,pentagon,pipe,torus,c),b),b),a),to see the ball run,to see the ball run,,33396
2a,100,198,TRUE,1/14/21 15:22,R_RFzWF9MDfCZz8pb,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),to see if I could get the toy to land on top of it,to see if the toy could land inside the other toy,,13326
2a,100,326,TRUE,1/14/21 15:22,R_1jJNPjM5p0VmvZQ,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,octahedron,torus,bowl,octahedron,trig prism,torus,cone,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),shapes seem to fit in one another,shapes seem to fit,,23716
2a,100,481,TRUE,1/14/21 15:24,R_2uC0zeSfhA0dQje,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),b),a),I wanted to see how the cone would turn and react when it hit the ball.,I wanted to see if I could get object in the cup object.,,20810
2a,100,345,TRUE,1/14/21 15:24,R_1laTlos8Q9zF9fB,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,b),b),a),a),to see if I can leave it on top of the other piece,for me the result would be more interesting when the toy falls,,60740
2a,100,206,TRUE,1/14/21 15:26,R_2zvVgfWFXdmjl6E,2,Y,dumbbell,b),pyramid,octahedron,dumbbell,pyramid,sphere,pentagon,sphere,dumbbell,octahedron,dumbbell,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,c),a),b),a),Why not?,I thought the drop would be more entertaining.,,38987
2a,100,592,TRUE,1/14/21 15:26,R_2zLNbGBSJRQsxcd,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,dumbbell,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,cone,torus,c),b),a),a),because the ball will likely roll away,I think it will be interesting to see them bumping in each other,,74152
2a,100,768,TRUE,1/14/21 15:28,R_2vicpvARQQVPyBI,1,Y,dumbbell,b),pipe,octahedron,dumbbell,trig prism,sphere,pentagon,sphere,bowl,torus,dumbbell,octahedron,pentagon,sphere,torus,pentagon,pipe,sphere,pyramid,pipe,torus,b),b),b),b),easy to hold,easy to place,,6612
2a,100,260,TRUE,1/14/21 15:30,R_1l6jGKjfnWbUHQA,3,,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,torus,torus,bowl,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,cone,trig prism,c),b),b),a),The ball looks like it would do something interesting.,I think the ball would move in an interesting way.,,89855
2a,100,218,TRUE,1/14/21 15:32,R_332xEokc5OmFUpN,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,pentagon,sphere,dumbbell,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I want to see how the ball rolls.,I wanted to see how the ball would roll.,,99093
